vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万计算机行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|宏景科技|301396|计算机|一级行业|申万行业分类|
|智迪科技|301503|计算机|一级行业|申万行业分类|
|托普云农|301556|计算机|一级行业|申万行业分类|
|诺瓦星云|301589|计算机|一级行业|申万行业分类|
|慧翰股份|301600|计算机|一级行业|申万行业分类|
|博实结|301608|计算机|一级行业|申万行业分类|
|南网数字|301638|计算机|一级行业|申万行业分类|
|世纪瑞尔|430001|计算机|一级行业|申万行业分类|
|久其软件|430007|计算机|一级行业|申万行业分类|
|紫光华宇|430008|计算机|一级行业|申万行业分类|
|同方股份|600100|计算机|一级行业|申万行业分类|
|国网信通|600131|计算机|一级行业|申万行业分类|
|航天信息|600271|计算机|一级行业|申万行业分类|
|大恒科技|600288|计算机|一级行业|申万行业分类|
|华胜天成|600410|计算机|一级行业|申万行业分类|
|金证股份|600446|计算机|一级行业|申万行业分类|
|博通股份|600455|计算机|一级行业|申万行业分类|
|*ST湘邮|600476|计算机|一级行业|申万行业分类|
|中国软件|600536|计算机|一级行业|申万行业分类|
|恒生电子|600570|计算机|一级行业|申万行业分类|
|信雅达|600571|计算机|一级行业|申万行业分类|
|用友网络|600588|计算机|一级行业|申万行业分类|
|大位科技|600589|计算机|一级行业|申万行业分类|
|云赛智联|600602|计算机|一级行业|申万行业分类|
|中安科|600654|计算机|一级行业|申万行业分类|
|奥瑞德|600666|计算机|一级行业|申万行业分类|
|东软集团|600718|计算机|一级行业|申万行业分类|
|佳都科技|600728|计算机|一级行业|申万行业分类|
|浪潮软件|600756|计算机|一级行业|申万行业分类|
|浙大网新|600797|计算机|一级行业|申万行业分类|
|宝信软件|600845|计算机|一级行业|申万行业分类|
|电科数字|600850|计算机|一级行业|申万行业分类|
|三六零|601360|计算机|一级行业|申万行业分类|
|大智慧|601519|计算机|一级行业|申万行业分类|
|中科曙光|603019|计算机|一级行业|申万行业分类|
|泛微网络|603039|计算机|一级行业|申万行业分类|
|恒银科技|603106|计算机|一级行业|申万行业分类|
|海量数据|603138|计算机|一级行业|申万行业分类|
|税友股份|603171|计算机|一级行业|申万行业分类|
|*ST网达|603189|计算机|一级行业|申万行业分类|
|格尔软件|603232|计算机|一级行业|申万行业分类|
|顶点软件|603383|计算机|一级行业|申万行业分类|
|恒为科技|603496|计算机|一级行业|申万行业分类|
|思维列控|603508|计算机|一级行业|申万行业分类|
|淳中科技|603516|计算机|一级行业|申万行业分类|
|多伦科技|603528|计算机|一级行业|申万行业分类|
|南威软件|603636|计算机|一级行业|申万行业分类|
|苏州科达|603660|计算机|一级行业|申万行业分类|
|能科科技|603859|计算机|一级行业|申万行业分类|
|ST智知|603869|计算机|一级行业|申万行业分类|
|城地香江|603887|计算机|一级行业|申万行业分类|
|金桥信息|603918|计算机|一级行业|申万行业分类|
|中科软|603927|计算机|一级行业|申万行业分类|
|麦迪科技|603990|计算机|一级行业|申万行业分类|
|力鼎光电|605118|计算机|一级行业|申万行业分类|
|新炬网络|605398|计算机|一级行业|申万行业分类|
|博汇科技|688004|计算机|一级行业|申万行业分类|
|安恒信息|688023|计算机|一级行业|申万行业分类|
|山石网科|688030|计算机|一级行业|申万行业分类|
|星环科技|688031|计算机|一级行业|申万行业分类|
|中科通达|688038|计算机|一级行业|申万行业分类|
|当虹科技|688039|计算机|一级行业|申万行业分类|
|佳华科技|688051|计算机|一级行业|申万行业分类|
|宝兰德|688058|计算机|一级行业|申万行业分类|
|云涌科技|688060|计算机|一级行业|申万行业分类|
|*ST航图|688066|计算机|一级行业|申万行业分类|
|龙软科技|688078|计算机|一级行业|申万行业分类|
|中望软件|688083|计算机|一级行业|申万行业分类|
|虹软科技|688088|计算机|一级行业|申万行业分类|
|福昕软件|688095|计算机|一级行业|申万行业分类|
|品茗科技|688109|计算机|一级行业|申万行业分类|
|金山办公|688111|计算机|一级行业|申万行业分类|
|普元信息|688118|计算机|一级行业|申万行业分类|
|麒麟信安|688152|计算机|一级行业|申万行业分类|
|优刻得|688158|计算机|一级行业|申万行业分类|
|安博通|688168|计算机|一级行业|申万行业分类|
|纬德信息|688171|计算机|一级行业|申万行业分类|
|柏楚电子|688188|计算机|一级行业|申万行业分类|
|ST信安|688201|计算机|一级行业|申万行业分类|
|概伦电子|688206|计算机|一级行业|申万行业分类|
|格灵深瞳|688207|计算机|一级行业|申万行业分类|
|道通科技|688208|计算机|一级行业|申万行业分类|
|亚信安全|688225|计算机|一级行业|申万行业分类|
|品高股份|688227|计算机|一级行业|申万行业分类|
|开普云|688228|计算机|一级行业|申万行业分类|
|博睿数据|688229|计算机|一级行业|申万行业分类|
|新点软件|688232|计算机|一级行业|申万行业分类|
|永信至诚|688244|计算机|一级行业|申万行业分类|
|嘉和美康|688246|计算机|一级行业|申万行业分类|
|井松智能|688251|计算机|一级行业|申万行业分类|
|卓易信息|688258|计算机|一级行业|申万行业分类|
|鸿泉技术|688288|计算机|一级行业|申万行业分类|
|金橙子|688291|计算机|一级行业|申万行业分类|
|浩瀚深度|688292|计算机|一级行业|申万行业分类|
|和达科技|688296|计算机|一级行业|申万行业分类|
|青云科技|688316|计算机|一级行业|申万行业分类|
|财富趋势|688318|计算机|一级行业|申万行业分类|
|经纬恒润|688326|计算机|一级行业|申万行业分类|
|云从科技|688327|计算机|一级行业|申万行业分类|
|云天励飞|688343|计算机|一级行业|申万行业分类|
|光云科技|688365|计算机|一级行业|申万行业分类|
|致远互联|688369|计算机|一级行业|申万行业分类|
|英方软件|688435|计算机|一级行业|申万行业分类|
|萤石网络|688475|计算机|一级行业|申万行业分类|
|友车科技|688479|计算机|一级行业|申万行业分类|
|三未信安|688489|计算机|一级行业|申万行业分类|
|慧辰股份|688500|计算机|一级行业|申万行业分类|
|索辰科技|688507|计算机|一级行业|申万行业分类|
|正元地信|688509|计算机|一级行业|申万行业分类|
|奇安信|688561|计算机|一级行业|申万行业分类|
|航天软件|688562|计算机|一级行业|申万行业分类|
|中科星图|688568|计算机|一级行业|申万行业分类|
|地纬智能|688579|计算机|一级行业|申万行业分类|
|凌志软件|688588|计算机|一级行业|申万行业分类|
|新致软件|688590|计算机|一级行业|申万行业分类|
|合合信息|688615|计算机|一级行业|申万行业分类|
|罗普特|688619|计算机|一级行业|申万行业分类|
|莱斯信息|688631|计算机|一级行业|申万行业分类|
|盛邦安全|688651|计算机|一级行业|申万行业分类|
|浩辰软件|688657|计算机|一级行业|申万行业分类|
|达梦数据|688692|计算机|一级行业|申万行业分类|
|中创股份|688695|计算机|一级行业|申万行业分类|
|海天瑞声|688787|计算机|一级行业|申万行业分类|
|创显科教|834541|计算机|一级行业|申万行业分类|
|先歌国际|872824|计算机|一级行业|申万行业分类|
|尚航科技|873374|计算机|一级行业|申万行业分类|
|科金明|874445|计算机|一级行业|申万行业分类|
