vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|拓斯达|300607|机械设备|一级行业|申万行业分类|
|必创科技|300667|机械设备|一级行业|申万行业分类|
|沪宁股份|300669|机械设备|一级行业|申万行业分类|
|岱勒新材|300700|机械设备|一级行业|申万行业分类|
|长盛轴承|300718|机械设备|一级行业|申万行业分类|
|海川智能|300720|机械设备|一级行业|申万行业分类|
|锐科激光|300747|机械设备|一级行业|申万行业分类|
|金马游乐|300756|机械设备|一级行业|申万行业分类|
|罗博特科|300757|机械设备|一级行业|申万行业分类|
|德恩精工|300780|机械设备|一级行业|申万行业分类|
|矩子科技|300802|机械设备|一级行业|申万行业分类|
|华辰装备|300809|机械设备|一级行业|申万行业分类|
|泰林生物|300813|机械设备|一级行业|申万行业分类|
|双飞集团|300817|机械设备|一级行业|申万行业分类|
|耐普矿机|300818|机械设备|一级行业|申万行业分类|
|建科智能|300823|机械设备|一级行业|申万行业分类|
|锐新科技|300828|机械设备|一级行业|申万行业分类|
|浩洋股份|300833|机械设备|一级行业|申万行业分类|
|佰奥智能|300836|机械设备|一级行业|申万行业分类|
|浙矿股份|300837|机械设备|一级行业|申万行业分类|
|浙江力诺|300838|机械设备|一级行业|申万行业分类|
|交大思诺|300851|机械设备|一级行业|申万行业分类|
|美畅股份|300861|机械设备|一级行业|申万行业分类|
|蓝盾光电|300862|机械设备|一级行业|申万行业分类|
|大宏立|300865|机械设备|一级行业|申万行业分类|
|大叶股份|300879|机械设备|一级行业|申万行业分类|
|海昌新材|300885|机械设备|一级行业|申万行业分类|
|山科智能|300897|机械设备|一级行业|申万行业分类|
|国安达|300902|机械设备|一级行业|申万行业分类|
|日月明|300906|机械设备|一级行业|申万行业分类|
|研奥股份|300923|机械设备|一级行业|申万行业分类|
|通用电梯|300931|机械设备|一级行业|申万行业分类|
|春晖智控|300943|机械设备|一级行业|申万行业分类|
|恒而达|300946|机械设备|一级行业|申万行业分类|
|德固特|300950|机械设备|一级行业|申万行业分类|
|通业科技|300960|机械设备|一级行业|申万行业分类|
|博亚精工|300971|机械设备|一级行业|申万行业分类|
|金沃股份|300984|机械设备|一级行业|申万行业分类|
|致远新能|300985|机械设备|一级行业|申万行业分类|
|津荣天宇|300988|机械设备|一级行业|申万行业分类|
|同飞股份|300990|机械设备|一级行业|申万行业分类|
|泰福泵业|300992|机械设备|一级行业|申万行业分类|
