vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电力设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|艾罗能源|688717|电力设备|一级行业|申万行业分类|
|爱科赛博|688719|电力设备|一级行业|申万行业分类|
|拉普拉斯|688726|电力设备|一级行业|申万行业分类|
|壹石通|688733|电力设备|一级行业|申万行业分类|
|珠海冠宇|688772|电力设备|一级行业|申万行业分类|
|厦钨新能|688778|电力设备|一级行业|申万行业分类|
|五矿新能|688779|电力设备|一级行业|申万行业分类|
|天能股份|688819|电力设备|一级行业|申万行业分类|
|亘古电缆|832010|电力设备|一级行业|申万行业分类|
|正导技术|873981|电力设备|一级行业|申万行业分类|
|文依电气|874049|电力设备|一级行业|申万行业分类|
|文峰光电|874332|电力设备|一级行业|申万行业分类|
|福建三星|874352|电力设备|一级行业|申万行业分类|
|友邦股份|874411|电力设备|一级行业|申万行业分类|
|浙江天际|874536|电力设备|一级行业|申万行业分类|
|奥立思特|874550|电力设备|一级行业|申万行业分类|
|沛城科技|874553|电力设备|一级行业|申万行业分类|
|固力发|874588|电力设备|一级行业|申万行业分类|
|金力传动|874716|电力设备|一级行业|申万行业分类|
|国电股份|874726|电力设备|一级行业|申万行业分类|
|前景无忧|874746|电力设备|一级行业|申万行业分类|
|远征传导|874766|电力设备|一级行业|申万行业分类|
|里得科技|874774|电力设备|一级行业|申万行业分类|
|武晓集团|874870|电力设备|一级行业|申万行业分类|
|金晖隆|874882|电力设备|一级行业|申万行业分类|
|嘉拓智能|874969|电力设备|一级行业|申万行业分类|
|维衡股份|874992|电力设备|一级行业|申万行业分类|
|风华股份|875018|电力设备|一级行业|申万行业分类|
|北变科技|875117|电力设备|一级行业|申万行业分类|
|酉立智能|920007|电力设备|一级行业|申万行业分类|
|晨光电机|920011|电力设备|一级行业|申万行业分类|
|宏远股份|920018|电力设备|一级行业|申万行业分类|
|开发科技|920029|电力设备|一级行业|申万行业分类|
|广信科技|920037|电力设备|一级行业|申万行业分类|
|亿能电力|920046|电力设备|一级行业|申万行业分类|
|科润智控|920062|电力设备|一级行业|申万行业分类|
|三协电机|920100|电力设备|一级行业|申万行业分类|
|雷特科技|920110|电力设备|一级行业|申万行业分类|
|聚星科技|920111|电力设备|一级行业|申万行业分类|
|龙鑫智能|920117|电力设备|一级行业|申万行业分类|
|太湖远大|920118|电力设备|一级行业|申万行业分类|
|美德乐|920119|电力设备|一级行业|申万行业分类|
|昆工科技|920152|电力设备|一级行业|申万行业分类|
|同享科技|920167|电力设备|一级行业|申万行业分类|
|贝特瑞|920185|电力设备|一级行业|申万行业分类|
|振宏股份|920200|电力设备|一级行业|申万行业分类|
|益坤电气|920222|电力设备|一级行业|申万行业分类|
|力佳科技|920237|电力设备|一级行业|申万行业分类|
|长虹能源|920239|电力设备|一级行业|申万行业分类|
|天宏锂电|920252|电力设备|一级行业|申万行业分类|
|华汇智能|920289|电力设备|一级行业|申万行业分类|
|灿能电力|920299|电力设备|一级行业|申万行业分类|
|连城数控|920368|电力设备|一级行业|申万行业分类|
|派诺科技|920375|电力设备|一级行业|申万行业分类|
|欧普泰|920414|电力设备|一级行业|申万行业分类|
|许昌智能|920496|电力设备|一级行业|申万行业分类|
|殷图网联|920508|电力设备|一级行业|申万行业分类|
|纳科诺尔|920522|电力设备|一级行业|申万行业分类|
|德瑞锂电|920523|电力设备|一级行业|申万行业分类|
|雅达股份|920556|电力设备|一级行业|申万行业分类|
|力王股份|920627|电力设备|一级行业|申万行业分类|
|晨光电缆|920639|电力设备|一级行业|申万行业分类|
|球冠电缆|920682|电力设备|一级行业|申万行业分类|
|艾能聚|920770|电力设备|一级行业|申万行业分类|
|武汉蓝电|920779|电力设备|一级行业|申万行业分类|
|安达科技|920809|电力设备|一级行业|申万行业分类|
|远航精密|920914|电力设备|一级行业|申万行业分类|
|海泰新能|920985|电力设备|一级行业|申万行业分类|",2026-09-13T09:00:43.497816+08:00
