vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万汽车行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|隆鑫通用|603766|汽车|一级行业|申万行业分类|
|中马传动|603767|汽车|一级行业|申万行业分类|
|常青股份|603768|汽车|一级行业|申万行业分类|
|永安行|603776|汽车|一级行业|申万行业分类|
|科博达|603786|汽车|一级行业|申万行业分类|
|新日股份|603787|汽车|一级行业|申万行业分类|
|宁波高发|603788|汽车|一级行业|申万行业分类|
|豪能股份|603809|汽车|一级行业|申万行业分类|
|合力科技|603917|汽车|一级行业|申万行业分类|
|ST金鸿顺|603922|汽车|一级行业|申万行业分类|
|铁流股份|603926|汽车|一级行业|申万行业分类|
|雪龙集团|603949|汽车|一级行业|申万行业分类|
|长源东谷|603950|汽车|一级行业|申万行业分类|
|克来机电|603960|汽车|一级行业|申万行业分类|
|泉峰汽车|603982|汽车|一级行业|申万行业分类|
|继峰股份|603997|汽车|一级行业|申万行业分类|
|合兴股份|605005|汽车|一级行业|申万行业分类|
|长华集团|605018|汽车|一级行业|申万行业分类|
|明新旭腾|605068|汽车|一级行业|申万行业分类|
|冠盛股份|605088|汽车|一级行业|申万行业分类|
|上海沿浦|605128|汽车|一级行业|申万行业分类|
|嵘泰股份|605133|汽车|一级行业|申万行业分类|
|西上海|605151|汽车|一级行业|申万行业分类|
|神通科技|605228|汽车|一级行业|申万行业分类|
|天普股份|605255|汽车|一级行业|申万行业分类|
|无锡振华|605319|汽车|一级行业|申万行业分类|
|沪光股份|605333|汽车|一级行业|申万行业分类|
|奥福科技|688021|汽车|一级行业|申万行业分类|
|精进电动|688280|汽车|一级行业|申万行业分类|
|上声电子|688533|汽车|一级行业|申万行业分类|
|威迈斯|688612|汽车|一级行业|申万行业分类|
|菱电电控|688667|汽车|一级行业|申万行业分类|
|中自科技|688737|汽车|一级行业|申万行业分类|
|九号公司|689009|汽车|一级行业|申万行业分类|
|上海科特|831474|汽车|一级行业|申万行业分类|
|天运股份|832684|汽车|一级行业|申万行业分类|
|银钢一通|832836|汽车|一级行业|申万行业分类|
|富泰和|834044|汽车|一级行业|申万行业分类|
|德博科技|834377|汽车|一级行业|申万行业分类|
|新剑传动|871312|汽车|一级行业|申万行业分类|
|新富科技|873855|汽车|一级行业|申万行业分类|
|培源股份|873974|汽车|一级行业|申万行业分类|
|睿信电器|874181|汽车|一级行业|申万行业分类|
|欧朗科技|874238|汽车|一级行业|申万行业分类|
|泓毅股份|874347|汽车|一级行业|申万行业分类|
|安达股份|874433|汽车|一级行业|申万行业分类|
|中裕铁信|874484|汽车|一级行业|申万行业分类|
|艾斯迪|874498|汽车|一级行业|申万行业分类|
|国贵科技|874528|汽车|一级行业|申万行业分类|
|方意股份|874586|汽车|一级行业|申万行业分类|
|弥富科技|874649|汽车|一级行业|申万行业分类|
|祥晋股份|874720|汽车|一级行业|申万行业分类|
|宏景电子|874751|汽车|一级行业|申万行业分类|
|莫森泰克|874769|汽车|一级行业|申万行业分类|
|环能涡轮|874798|汽车|一级行业|申万行业分类|
|华光股份|874806|汽车|一级行业|申万行业分类|
|昊翔股份|874817|汽车|一级行业|申万行业分类|
|易事达|874821|汽车|一级行业|申万行业分类|
|帅特龙|874860|汽车|一级行业|申万行业分类|
|戈尔德|874879|汽车|一级行业|申万行业分类|
|玖行能源|874949|汽车|一级行业|申万行业分类|
|正和科技|874960|汽车|一级行业|申万行业分类|
|江苏永成|875000|汽车|一级行业|申万行业分类|
|林泉股份|875083|汽车|一级行业|申万行业分类|
|安徽凤凰|920000|汽车|一级行业|申万行业分类|
|泰凯英|920020|汽车|一级行业|申万行业分类|
|世昌股份|920022|汽车|一级行业|申万行业分类|
|德众汽车|920030|汽车|一级行业|申万行业分类|
|隆源股份|920055|汽车|一级行业|申万行业分类|
|华洋赛车|920058|汽车|一级行业|申万行业分类|
