vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电子行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801080.SI|申万电子|300481.SZ|濮阳惠成|-|13.37|-0.22|-1.62|-|663.26|8817.92|2.92|39.02|1.85|24.78|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|300476.SZ|胜宏科技|-|228.99|-0.96|-0.42|-|2344.40|530721.24|9.83|2250.48|5.97|1367.99|计算机、通信和其他电子设备制造业|2015-06-18|
|801080.SI|申万电子|300475.SZ|香农芯创|-|167.65|-5.53|-3.19|-|2317.32|386224.21|4.70|787.19|2.75|460.82|批发业|2022-05-24|
|801080.SI|申万电子|300460.SZ|ST惠伦|-|8.86|0.20|2.31|-|430.27|3737.64|2.81|24.88|2.42|21.43|计算机、通信和其他电子设备制造业|2015-05-22|
|801080.SI|申万电子|300458.SZ|全志科技|-|29.40|-0.75|-2.49|-|2986.92|87809.79|9.94|292.13|6.92|203.31|计算机、通信和其他电子设备制造业|2015-05-22|
|801080.SI|申万电子|300456.SZ|赛微电子|-|34.65|-1.38|-3.83|-|3014.12|104538.81|7.32|253.71|5.19|179.95|计算机、通信和其他电子设备制造业|2020-08-03|
|801080.SI|申万电子|300433.SZ|蓝思科技|-|33.27|-0.54|-1.60|-|7904.53|266633.06|52.79|1756.24|16.69|555.16|计算机、通信和其他电子设备制造业|2015-03-25|
|801080.SI|申万电子|300429.SZ|强力新材|-|10.79|-0.10|-0.92|-|1523.56|16226.93|5.55|59.93|3.72|40.14|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|300408.SZ|三环集团|-|124.36|6.66|5.66|-|7656.35|930052.24|19.97|2483.12|12.11|1506.06|计算机、通信和其他电子设备制造业|2014-12-10|
|801080.SI|申万电子|300398.SZ|飞凯材料|-|32.80|-0.50|-1.50|-|2008.74|65116.41|5.70|186.97|4.45|145.83|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|300389.SZ|艾比森|-|12.11|-0.30|-2.42|-|394.27|4762.55|3.69|44.70|1.23|14.93|计算机、通信和其他电子设备制造业|2014-08-08|
|801080.SI|申万电子|300373.SZ|扬杰科技|-|84.36|-2.05|-2.37|-|906.46|76194.59|5.43|458.37|2.39|201.78|计算机、通信和其他电子设备制造业|2014-01-30|
|801080.SI|申万电子|300346.SZ|南大光电|-|51.00|-0.86|-1.66|-|2178.33|110081.88|6.91|352.49|5.66|288.57|计算机、通信和其他电子设备制造业|2012-08-14|
|801080.SI|申万电子|300331.SZ|苏大维格|-|44.61|-1.69|-3.65|-|1018.98|45214.80|2.60|115.84|1.81|80.54|计算机、通信和其他电子设备制造业|2012-07-05|
|801080.SI|申万电子|300327.SZ|中颖电子|-|23.38|-0.50|-2.09|-|892.78|20763.83|3.41|79.81|2.59|60.54|计算机、通信和其他电子设备制造业|2012-06-20|
|801080.SI|申万电子|300323.SZ|华灿光电|-|10.51|-0.29|-2.69|-|5036.02|52430.63|16.23|170.58|8.91|93.66|计算机、通信和其他电子设备制造业|2012-06-08|
|801080.SI|申万电子|300322.SZ|硕贝德|-|17.46|-0.02|-0.11|-|2023.31|35022.54|4.60|80.32|3.54|61.89|计算机、通信和其他电子设备制造业|2014-07-02|
|801080.SI|申万电子|300319.SZ|麦捷科技|-|21.06|1.06|5.30|-|17354.27|357313.34|8.88|186.93|6.62|139.50|计算机、通信和其他电子设备制造业|2012-05-30|
|801080.SI|申万电子|300303.SZ|聚飞光电|-|6.74|-0.07|-1.03|-|3411.25|22830.82|14.17|95.49|11.57|78.00|计算机、通信和其他电子设备制造业|2012-03-26|
|801080.SI|申万电子|300301.SZ|ST长方|-|3.43|-0.04|-1.15|-|730.09|2482.74|8.30|28.46|6.79|23.28|计算机、通信和其他电子设备制造业|2012-03-28|
|801080.SI|申万电子|300296.SZ|利亚德|-|4.95|-0.05|-1.00|-|5069.42|24921.38|27.12|134.24|21.37|105.77|计算机、通信和其他电子设备制造业|2012-03-22|
|801080.SI|申万电子|300285.SZ|国瓷材料|-|62.77|2.42|4.01|-|10280.56|632906.01|9.97|625.85|8.15|511.47|化学原料和化学制品制造业|2022-08-01|
|801080.SI|申万电子|300269.SZ|联建光电|-|4.87|-0.10|-2.01|-|1236.24|5982.64|5.47|26.64|4.34|21.14|计算机、通信和其他电子设备制造业|2022-08-01|
|801080.SI|申万电子|300256.SZ|星星科技|-|2.73|-0.04|-1.44|-|2079.45|5644.86|22.68|61.93|12.15|33.17|计算机、通信和其他电子设备制造业|2022-09-01|
|801080.SI|申万电子|300241.SZ|瑞丰光电|-|5.70|-0.03|-0.52|-|1728.04|9741.45|7.17|40.85|5.34|30.45|计算机、通信和其他电子设备制造业|2011-07-19|
|801080.SI|申万电子|300236.SZ|上海新阳|-|82.30|-1.09|-1.31|-|585.11|47588.47|3.13|257.91|2.05|168.91|计算机、通信和其他电子设备制造业|2021-12-13|
|801080.SI|申万电子|300232.SZ|洲明科技|-|5.36|-0.07|-1.29|-|1203.49|6405.73|10.90|58.44|8.01|42.94|计算机、通信和其他电子设备制造业|2011-06-29|
|801080.SI|申万电子|300223.SZ|君正股份|-|128.78|-3.67|-2.77|-|1952.20|249173.20|5.15|663.15|4.07|524.32|计算机、通信和其他电子设备制造业|2011-06-08|
|801080.SI|申万电子|300219.SZ|鸿利智汇|-|6.71|-0.06|-0.89|-|1404.62|9369.11|7.08|47.50|4.15|27.86|计算机、通信和其他电子设备制造业|2011-05-24|
|801080.SI|申万电子|300184.SZ|力源信息|-|11.71|-0.09|-0.76|-|4054.93|46954.53|11.47|134.27|10.18|119.18|批发业|2011-03-01|
|801080.SI|申万电子|300162.SZ|雷曼光电|-|7.37|-0.18|-2.38|-|1444.61|10631.44|4.20|30.92|2.72|20.04|计算机、通信和其他电子设备制造业|2011-01-20|
|801080.SI|申万电子|300136.SZ|信维通信|-|56.83|-0.13|-0.23|-|3674.67|205249.42|9.68|549.87|7.88|447.57|计算机、通信和其他电子设备制造业|2014-07-02|
|801080.SI|申万电子|300131.SZ|英唐智控|-|15.55|-1.00|-6.04|-|9525.30|150018.63|11.35|176.50|9.88|153.57|批发业|2010-10-19|
|801080.SI|申万电子|300128.SZ|锦富技术|-|4.98|-0.04|-0.80|-|2804.37|13823.04|12.99|64.70|9.40|46.81|计算机、通信和其他电子设备制造业|2026-07-02|
|801080.SI|申万电子|300120.SZ|经纬辉开|-|7.08|-0.10|-1.39|-|2014.16|14151.25|5.74|40.67|5.15|36.47|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|300115.SZ|长盈精密|-|23.00|-0.49|-2.09|-|2636.86|60219.95|13.61|313.11|9.12|209.84|计算机、通信和其他电子设备制造业|2010-09-02|
|801080.SI|申万电子|300102.SZ|乾照光电|-|17.01|-0.35|-2.02|-|1764.62|29929.17|9.20|156.55|5.69|96.72|计算机、通信和其他电子设备制造业|2010-08-12|
|801080.SI|申万电子|300088.SZ|长信科技|-|6.89|-0.12|-1.71|-|11060.31|75645.60|24.98|172.09|22.14|152.55|计算机、通信和其他电子设备制造业|2010-05-26|
