code_qlib,code_gildata,name,sw_l1
SH600594,600594.SH,益佰制药,医药生物
SH600595,600595.SH,中孚实业,有色金属
SH600596,600596.SH,新安股份,基础化工
SH600597,600597.SH,光明乳业,食品饮料
SH600598,600598.SH,北大荒,农林牧渔
SH600600,600600.SH,青岛啤酒,食品饮料
SH600601,600601.SH,方正科技,电子
SH600602,600602.SH,云赛智联,计算机
SH600603,600603.SH,广汇物流,交通运输
SH600604,600604.SH,市北高新,房地产
SH600605,600605.SH,汇通能源,商贸零售
SH600606,600606.SH,绿地控股,房地产
SH600609,600609.SH,金杯汽车,汽车
SH600610,600610.SH,中毅达,基础化工
SH600611,600611.SH,大众交通,交通运输
SH600612,600612.SH,老凤祥,纺织服饰
SH600613,600613.SH,神奇制药,医药生物
SH600615,600615.SH,鑫源智造,有色金属
SH600616,600616.SH,金枫酒业,食品饮料
SH600617,600617.SH,国新能源,公用事业
SH600618,600618.SH,氯碱化工,基础化工
SH600619,600619.SH,海立股份,家用电器
SH600620,600620.SH,天宸股份,综合
SH600621,600621.SH,华鑫股份,非银金融
SH600622,600622.SH,光大嘉宝,房地产
SH600623,600623.SH,华谊集团,基础化工
SH600624,600624.SH,ST复华,医药生物
SH600626,600626.SH,申达股份,汽车
SH600628,600628.SH,新世界,商贸零售
SH600629,600629.SH,华建集团,建筑装饰
SH600630,600630.SH,龙头股份,纺织服饰
SH600633,600633.SH,浙数文化,传媒
SH600635,600635.SH,大众公用,公用事业
SH600637,600637.SH,东方明珠,传媒
SH600638,600638.SH,新黄浦,房地产
SH600639,600639.SH,浦东金桥,房地产
SH600640,600640.SH,国脉文化,传媒
SH600641,600641.SH,先导基电,电子
SH600642,600642.SH,申能股份,公用事业
SH600643,600643.SH,爱建集团,非银金融
SH600644,600644.SH,乐山电力,公用事业
SH600645,600645.SH,中源协和,医药生物
SH600648,600648.SH,外高桥,房地产
SH600649,600649.SH,城投控股,房地产
SH600650,600650.SH,锦江在线,交通运输
SH600651,600651.SH,飞乐音响,汽车
SH600653,600653.SH,申华控股,汽车
SH600654,600654.SH,中安科,计算机
SH600655,600655.SH,豫园股份,商贸零售
SH600657,600657.SH,信达地产,房地产
SH600658,600658.SH,电子城,房地产
SH600660,600660.SH,福耀玻璃,汽车
SH600661,600661.SH,昂立教育,社会服务
SH600662,600662.SH,外服控股,社会服务
SH600663,600663.SH,陆家嘴,房地产
SH600664,600664.SH,哈药股份,医药生物
SH600665,600665.SH,天地源,房地产
SH600666,600666.SH,奥瑞德,计算机
SH600667,600667.SH,太极实业,建筑装饰
SH600668,600668.SH,尖峰集团,建筑材料
SH600671,600671.SH,天目药业,医药生物
SH600673,600673.SH,东阳光,综合
SH600674,600674.SH,川投能源,公用事业
SH600675,600675.SH,中华企业,房地产
SH600676,600676.SH,久事动娱,汽车
SH600678,600678.SH,ST金顶,建筑材料
SH600679,600679.SH,上海凤凰,汽车
SH600681,600681.SH,百川能源,公用事业
SH600682,600682.SH,南京新百,综合
SH600683,600683.SH,京投发展,房地产
SH600684,600684.SH,珠江股份,房地产
SH600685,600685.SH,中船防务,国防军工
SH600686,600686.SH,金龙汽车,汽车
SH600688,600688.SH,上海石化,石油石化
SH600689,600689.SH,上海三毛,综合
SH600690,600690.SH,海尔智家,家用电器
SH600691,600691.SH,潞化科技,基础化工
SH600692,600692.SH,亚通股份,房地产
SH600693,600693.SH,东百集团,商贸零售
SH600694,600694.SH,大商股份,商贸零售
SH600697,600697.SH,欧亚集团,商贸零售
SH600698,600698.SH,湖南天雁,汽车
SH600699,600699.SH,均胜电子,汽车
SH600702,600702.SH,舍得酒业,食品饮料
SH600703,600703.SH,三安光电,电子
SH600704,600704.SH,物产中大,交通运输
SH600706,600706.SH,曲江文旅,社会服务
SH600707,600707.SH,彩虹股份,电子
SH600708,600708.SH,光明地产,房地产
SH600710,600710.SH,苏美达,商贸零售
SH600711,600711.SH,盛屯矿业,有色金属
SH600712,600712.SH,南宁百货,商贸零售
SH600713,600713.SH,南京医药,医药生物
SH600714,600714.SH,金瑞矿业,基础化工
SH600715,600715.SH,文投控股,传媒
SH600716,600716.SH,凤凰股份,房地产
SH600717,600717.SH,天津港,交通运输
SH600718,600718.SH,东软集团,计算机
SH600719,600719.SH,大连热电,公用事业
SH600720,600720.SH,中交设计,建筑装饰
SH600721,600721.SH,百花医药,医药生物
SH600722,600722.SH,金牛化工,基础化工
SH600724,600724.SH,宁波富达,房地产
SH600725,600725.SH,云维股份,煤炭
SH600726,600726.SH,华电能源,公用事业
SH600727,600727.SH,鲁北化工,基础化工
SH600728,600728.SH,佳都科技,计算机
SH600729,600729.SH,重百集团,商贸零售
SH600730,600730.SH,*ST高科,社会服务
SH600731,600731.SH,湖南海利,基础化工
SH600732,600732.SH,爱旭股份,电力设备
SH600733,600733.SH,北汽蓝谷,汽车
SH600734,600734.SH,*ST实达,通信
SH600735,600735.SH,ST新华锦,纺织服饰
SH600736,600736.SH,苏州高新,房地产
SH600737,600737.SH,中粮糖业,农林牧渔
SH600738,600738.SH,丽尚国潮,商贸零售
SH600739,600739.SH,辽宁成大,医药生物
SH600740,600740.SH,山西焦化,煤炭
SH600741,600741.SH,华域汽车,汽车
SH600742,600742.SH,富维股份,汽车
SH600743,600743.SH,华远控股,房地产
SH600744,600744.SH,华银电力,公用事业
SH600745,600745.SH,*ST闻泰,电子
SH600746,600746.SH,江苏索普,基础化工
SH600748,600748.SH,上实发展,房地产
SH600749,600749.SH,西藏旅游,社会服务
SH600750,600750.SH,华润江中,医药生物
SH600751,600751.SH,海航科技,交通运输
SH600753,600753.SH,ST海钦,交通运输
SH600754,600754.SH,锦江酒店,社会服务
SH600755,600755.SH,厦门国贸,交通运输
SH600756,600756.SH,浪潮软件,计算机
SH600757,600757.SH,长江传媒,传媒
SH600758,600758.SH,辽宁能源,煤炭
