code_gildata,name,wind_sw_l1
001219.SZ,青岛食品,食品饮料
001220.SZ,世盟股份,交通运输
001221.SZ,悍高集团,轻工制造
001222.SZ,源飞宠物,轻工制造
001223.SZ,欧克科技,机械设备
001225.SZ,和泰机电,机械设备
001226.SZ,拓山重工,机械设备
001227.SZ,兰州银行,银行
001228.SZ,永泰运,交通运输
001229.SZ,魅视科技,计算机
001230.SZ,劲旅环境,环保
001231.SZ,农心科技,基础化工
001232.SZ,嘉立创,电子
001233.SZ,海安集团,汽车
001234.SZ,泰慕士,纺织服饰
001236.SZ,弘业期货,非银金融
001237.SZ,惠康科技,机械设备
001238.SZ,浙江正特,轻工制造
001239.SZ,永达股份,机械设备
001248.SZ,华润新能源,公用事业
001255.SZ,博菲电气,基础化工
001256.SZ,炜冈科技,机械设备
001257.SZ,盛龙股份,有色金属
001258.SZ,立新能源,公用事业
001259.SZ,利仁科技,家用电器
001260.SZ,坤泰股份,汽车
001266.SZ,宏英智能,机械设备
001267.SZ,汇绿生态,通信
001268.SZ,联合精密,家用电器
001269.SZ,欧晶科技,电力设备
001270.SZ,铖昌科技,国防军工
001277.SZ,速达股份,机械设备
001278.SZ,一彬科技,汽车
001279.SZ,强邦新材,轻工制造
001280.SZ,中国铀业,有色金属
001282.SZ,三联锻造,汽车
001283.SZ,豪鹏科技,电力设备
001285.SZ,瑞立科密,汽车
001286.SZ,陕西能源,公用事业
001287.SZ,中电港,电子
001288.SZ,运机集团,机械设备
001289.SZ,龙源电力,公用事业
001296.SZ,长江材料,基础化工
001298.SZ,好上好,电子
001299.SZ,美能能源,公用事业
001300.SZ,三柏硕,轻工制造
001301.SZ,尚太科技,电力设备
001306.SZ,夏厦精密,机械设备
001308.SZ,康冠科技,电子
001309.SZ,德明利,电子
001311.SZ,多利科技,汽车
001312.SZ,福恩股份,纺织服饰
001313.SZ,粤海饲料,农林牧渔
001314.SZ,亿道信息,电子
001316.SZ,润贝航科,石油石化
001317.SZ,三羊马,交通运输
001318.SZ,阳光乳业,食品饮料
001319.SZ,铭科精技,汽车
001322.SZ,箭牌家居,轻工制造
001323.SZ,慕思股份,轻工制造
001324.SZ,长青科技,机械设备
001325.SZ,元创股份,基础化工
001326.SZ,联域股份,家用电器
001328.SZ,登康口腔,美容护理
001330.SZ,博纳影业,传媒
001331.SZ,胜通能源,公用事业
001332.SZ,锡装股份,机械设备
001333.SZ,光华股份,基础化工
001335.SZ,信凯科技,基础化工
001336.SZ,楚环科技,环保
