vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有A股及其申万一级行业,1,智能选股,,,"智能选股工具共筛选出 5901 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|301081.SZ|严牌股份|环保|1.68|
|920833.BJ|美心翼申|机械设备|1.67|
|600310.SH|广西能源|公用事业|1.66|
|600163.SH|中闽能源|公用事业|1.65|
|300746.SZ|汉嘉数智|建筑装饰|1.65|
|300209.SZ|行云科技|计算机|1.65|
|000733.SZ|振华科技|国防军工|1.64|
|601728.SH|中国电信|通信|1.62|
|600186.SH|莲花控股|食品饮料|1.61|
|002323.SZ|*ST雅博|建筑装饰|1.59|
|000826.SZ|*ST启环|环保|1.59|
|603228.SH|景旺电子|电子|1.58|
|301237.SZ|和顺科技|基础化工|1.57|
|688135.SH|利扬芯片|电子|1.56|
|920718.BJ|合肥高科|家用电器|1.55|
|300964.SZ|本川智能|电子|1.55|
|002501.SZ|*ST利源|有色金属|1.54|
|002099.SZ|海翔药业|医药生物|1.54|
|920339.BJ|恒太照明|家用电器|1.54|
|600498.SH|烽火通信|通信|1.54|
|688267.SH|中触媒|基础化工|1.53|
|301339.SZ|通行宝|计算机|1.53|
|920021.BJ|流金科技|传媒|1.53|
|688583.SH|思看科技|机械设备|1.52|
|300756.SZ|金马游乐|机械设备|1.5|
|600803.SH|新奥股份|公用事业|1.49|
|300843.SZ|胜蓝股份|电子|1.47|
|300129.SZ|泰胜风能|电力设备|1.47|
|688712.SH|北芯生命|医药生物|1.47|
|301132.SZ|满坤科技|电子|1.46|
|300012.SZ|华测检测|社会服务|1.46|
|601611.SH|中国核建|建筑装饰|1.45|
|300615.SZ|欣天科技|通信|1.45|
|600243.SH|*ST海华|机械设备|1.45|
|600435.SH|北方导航|国防军工|1.44|
|000862.SZ|银星能源|公用事业|1.44|
|300504.SZ|天邑股份|通信|1.42|
|600233.SH|圆通速递|交通运输|1.42|
|000789.SZ|万年青|建筑材料|1.41|
|000561.SZ|烽火电子|国防军工|1.4|
|688053.SH|ST思科瑞|国防军工|1.4|
|002669.SZ|康达新材|基础化工|1.38|
|688538.SH|和辉光电|电子|1.38|
|301366.SZ|一博科技|电子|1.37|
|002334.SZ|英威腾|机械设备|1.37|
|600345.SH|长江通信|通信|1.37|
|600016.SH|民生银行|银行|1.37|
|603313.SH|梦百合|轻工制造|1.35|
|600060.SH|海信视像|家用电器|1.34|
|301439.SZ|泓淋电力|电力设备|1.34|
|000012.SZ|南玻A|建筑材料|1.32|
|002080.SZ|中材科技|建筑材料|1.32|
|002389.SZ|航天彩虹|国防军工|1.32|
|603272.SH|*ST联翔|轻工制造|1.3|
|920885.BJ|星辰科技|机械设备|1.29|
|300051.SZ|琏升科技|电力设备|1.29|
|002005.SZ|德豪润达|家用电器|1.28|
|600900.SH|长江电力|公用事业|1.28|
|000595.SZ|新能股份|公用事业|1.28|
|920267.BJ|鑫汇科|电子|1.27|
|600880.SH|博瑞传播|社会服务|1.27|
|688152.SH|麒麟信安|计算机|1.26|
|688612.SH|威迈斯|汽车|1.25|
|688213.SH|思特威|电子|1.24|
|688617.SH|惠泰医疗|医药生物|1.23|
|301190.SZ|善水科技|基础化工|1.22|
|603205.SH|健尔康|医药生物|1.22|
|600979.SH|广安爱众|公用事业|1.22|
|002694.SZ|*ST顾地|建筑材料|1.22|
|300661.SZ|圣邦股份|电子|1.21|
|603721.SH|中广天择|传媒|1.21|
|601952.SH|苏垦农发|农林牧渔|1.21|
|600529.SH|山东药玻|医药生物|1.2|
|002258.SZ|利尔化学|基础化工|1.2|
|300447.SZ|全信股份|国防军工|1.19|
|603257.SH|中国瑞林|建筑装饰|1.18|
|002726.SZ|ST龙大|食品饮料|1.17|
|600855.SH|航天长峰|国防军工|1.16|
|000516.SZ|国际医学|医药生物|1.16|
|300283.SZ|温州宏丰|电力设备|1.15|
|002011.SZ|盾安环境|家用电器|1.14|
|600025.SH|华能水电|公用事业|1.13|
|002179.SZ|中航光电|国防军工|1.12|
|002102.SZ|ST能特|医药生物|1.12|
|002300.SZ|太阳电缆|电力设备|1.12|
|002706.SZ|良信股份|电力设备|1.12|
|002916.SZ|深南电路|电子|1.11|
|300179.SZ|四方达|机械设备|1.1|
|601700.SH|风范股份|电力设备|1.09|
|603051.SH|鹿山新材|基础化工|1.06|
|300752.SZ|隆利科技|电子|1.06|
|000531.SZ|穗恒运A|公用事业|1.03|
|603888.SH|新华网|传媒|1.02|
|605376.SH|博迁新材|有色金属|1.01|
|605179.SH|一鸣食品|食品饮料|1.01|
|600178.SH|东安动力|汽车|1.01|
|300846.SZ|首都在线|计算机|1.01|
|600183.SH|生益科技|电子|1.0|
|000586.SZ|汇源通信|通信|0.99|
|688808.SH|联讯仪器|机械设备|0.98|
|001388.SZ|信通电子|电力设备|0.97|
|300305.SZ|裕兴股份|基础化工|0.97|
|603218.SH|日月股份|电力设备|0.97|
|920022.BJ|世昌股份|汽车|0.96|
|600021.SH|上海电力|公用事业|0.95|
|600795.SH|国电电力|公用事业|0.95|
|000791.SZ|甘肃能源|公用事业|0.95|
|920006.BJ|晟楠科技|国防军工|0.95|
|301179.SZ|泽宇智能|电力设备|0.95|
|300134.SZ|大富科技|通信|0.94|
|603189.SH|*ST网达|计算机|0.93|
|300317.SZ|珈伟新能|公用事业|0.92|
|300095.SZ|华伍股份|机械设备|0.92|
|688789.SH|宏华数科|机械设备|0.91|
|301056.SZ|森赫股份|机械设备|0.9|
|300819.SZ|聚杰微纤|纺织服饰|0.9|
|002862.SZ|实丰文化|轻工制造|0.89|
|001201.SZ|东瑞股份|农林牧渔|0.89|
|001326.SZ|联域股份|家用电器|0.88|
|002938.SZ|鹏鼎控股|电子|0.87|
|688084.SH|晶品特装|国防军工|0.86|
|600744.SH|华银电力|公用事业|0.86|
|300125.SZ|聆达股份|公用事业|0.86|
|603666.SH|亿嘉和|机械设备|0.85|
|301323.SZ|新莱福|有色金属|0.85|
|002012.SZ|凯恩股份|轻工制造|0.84|
|301213.SZ|观想科技|国防军工|0.84|
|301717.SZ|超纯应材|电子|0.84|
|603288.SH|海天味业|食品饮料|0.83|
|600845.SH|宝信软件|计算机|0.83|
|600359.SH|新农开发|农林牧渔|0.83|
|300245.SZ|ST天玑|计算机|0.82|
|600976.SH|健民集团|医药生物|0.82|
|000576.SZ|甘化科工|国防军工|0.82|
|002491.SZ|通鼎互联|通信|0.81|
|601929.SH|吉视传媒|传媒|0.81|
|300221.SZ|银禧科技|基础化工|0.8|
|600023.SH|浙能电力|公用事业|0.8|
|603129.SH|春风动力|汽车|0.8|
|300979.SZ|华利集团|纺织服饰|0.8|
|603956.SH|威派格|机械设备|0.79|
|688586.SH|江航装备|国防军工|0.79|
|300536.SZ|农尚环境|计算机|0.78|
|002490.SZ|山东墨龙|机械设备|0.78|
|600710.SH|苏美达|商贸零售|0.78|
|000610.SZ|*ST西旅|社会服务|0.77|
|603389.SH|亚振家居|轻工制造|0.77|
|600563.SH|法拉电子|电子|0.77|
|002972.SZ|科安达|机械设备|0.76|
|688036.SH|传音控股|电子|0.76|
|002741.SZ|光华科技|电子|0.76|
|688271.SH|联影医疗|医药生物|0.73|
|920161.BJ|龙辰科技|电子|0.73|
|300527.SZ|ST应急|国防军工|0.72|
|600545.SH|卓郎智能|机械设备|0.72|
|001286.SZ|陕西能源|公用事业|0.72|
|001390.SZ|古麒绒材|纺织服饰|0.72|
|300629.SZ|新劲刚|国防军工|0.71|
|920176.BJ|维琪科技|美容护理|0.71|
|920510.BJ|丰光精密|机械设备|0.7|
|688006.SH|杭可科技|电力设备|0.7|
|000533.SZ|顺钠股份|电力设备|0.69|
|300142.SZ|沃森生物|医药生物|0.69|
|688146.SH|中船特气|电子|0.69|
|688029.SH|南微医学|医药生物|0.68|
|002920.SZ|德赛西威|计算机|0.68|
|605167.SH|利柏特|建筑装饰|0.68|
|600372.SH|中航机载|国防军工|0.68|
|688065.SH|凯赛生物|基础化工|0.66|
|600624.SH|ST复华|医药生物|0.65|
|601939.SH|建设银行|银行|0.64|
|002713.SZ|东易日盛|建筑装饰|0.63|
|002263.SZ|大东南|基础化工|0.63|
|600228.SH|返利科技|传媒|0.63|
|300506.SZ|名家汇|建筑装饰|0.63|
|605183.SH|确成股份|基础化工|0.63|
|300397.SZ|天和防务|国防军工|0.63|
|920125.BJ|鸿仕达|机械设备|0.63|
|300353.SZ|东土科技|通信|0.62|
|002850.SZ|科达利|电力设备|0.62|
|600775.SH|南京熊猫|通信|0.62|
|601988.SH|中国银行|银行|0.61|
|688297.SH|中无人机|国防军工|0.61|
|000813.SZ|德展健康|医药生物|0.6|
|300850.SZ|新强联|电力设备|0.6|
|600745.SH|*ST闻泰|电子|0.59|",2026-09-13T08:30:48.046196+08:00
