vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万电力设备行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 418 个符合条件标的，以下列出前 418 条
|证券代码|证券简称|证券编码|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|300882.SZ|万胜智能|300882|电力设备|-1.91|
|002892.SZ|科力尔|002892|电力设备|-1.92|
|300093.SZ|金刚光伏|300093|电力设备|-1.92|
|002129.SZ|TCL中环|002129|电力设备|-1.92|
|300286.SZ|安科瑞|300286|电力设备|-1.92|
|600072.SH|中船科技|600072|电力设备|-1.93|
|920007.BJ|酉立智能|920007|电力设备|-1.94|
|600875.SH|东方电气|600875|电力设备|-1.95|
|002364.SZ|中恒电气|002364|电力设备|-1.99|
|000922.SZ|佳电股份|000922|电力设备|-2.02|
|301168.SZ|通灵股份|301168|电力设备|-2.02|
|688408.SH|中信博|688408|电力设备|-2.04|
|601877.SH|正泰电器|601877|电力设备|-2.05|
|300713.SZ|英可瑞|300713|电力设备|-2.05|
|301361.SZ|众智科技|301361|电力设备|-2.06|
|603070.SH|万控智造|603070|电力设备|-2.06|
|600268.SH|国电南自|600268|电力设备|-2.07|
|300018.SZ|中元股份|300018|电力设备|-2.08|
|003021.SZ|兆威机电|003021|电力设备|-2.08|
|600478.SH|科力远|600478|电力设备|-2.09|
|300173.SZ|ST福能|300173|电力设备|-2.1|
|301511.SZ|德福科技|301511|电力设备|-2.1|
|300617.SZ|安靠智电|300617|电力设备|-2.11|
|920375.BJ|派诺科技|920375|电力设备|-2.13|
|920018.BJ|宏远股份|920018|电力设备|-2.13|
|600241.SH|时代万恒|600241|电力设备|-2.14|
|688248.SH|南网科技|688248|电力设备|-2.14|
|688819.SH|天能股份|688819|电力设备|-2.15|
|301386.SZ|未来电器|301386|电力设备|-2.16|
|920110.BJ|雷特科技|920110|电力设备|-2.17|
|300932.SZ|三友联众|300932|电力设备|-2.18|
|300890.SZ|翔丰华|300890|电力设备|-2.18|
|300933.SZ|中辰股份|300933|电力设备|-2.21|
|002196.SZ|方正电机|002196|电力设备|-2.22|
|300648.SZ|星云股份|300648|电力设备|-2.23|
|300750.SZ|宁德时代|300750|电力设备|-2.23|
|000159.SZ|国际实业|000159|电力设备|-2.24|
|300514.SZ|友讯达|300514|电力设备|-2.25|
|601865.SH|福莱特|601865|电力设备|-2.27|
|301012.SZ|扬电科技|301012|电力设备|-2.27|
|000809.SZ|和展能源|000809|电力设备|-2.27|
|300870.SZ|欧陆通|300870|电力设备|-2.28|
|920037.BJ|广信科技|920037|电力设备|-2.28|
|300568.SZ|星源材质|300568|电力设备|-2.31|
|600481.SH|双良节能|600481|电力设备|-2.31|
|300953.SZ|震裕科技|300953|电力设备|-2.32|
|920062.BJ|科润智控|920062|电力设备|-2.32|
|920118.BJ|太湖远大|920118|电力设备|-2.33|
|300904.SZ|威力传动|300904|电力设备|-2.35|
|301516.SZ|中远通|301516|电力设备|-2.35|
|920556.BJ|雅达股份|920556|电力设备|-2.35|
|688388.SH|嘉元科技|688388|电力设备|-2.36|
|688597.SH|煜邦电力|688597|电力设备|-2.36|
|002623.SZ|亚玛顿|002623|电力设备|-2.37|
|600212.SH|绿能慧充|600212|电力设备|-2.37|
|688339.SH|亿华通|688339|电力设备|-2.38|
|301388.SZ|欣灵电气|301388|电力设备|-2.39|
|301487.SZ|盟固利|301487|电力设备|-2.43|
|600067.SH|冠城新材|600067|电力设备|-2.45|
|301513.SZ|尚水智能|301513|电力设备|-2.45|
|600884.SH|杉杉股份|600884|电力设备|-2.45|
|000400.SZ|许继电气|000400|电力设备|-2.46|
|688616.SH|西力科技|688616|电力设备|-2.46|
|600379.SH|宝光股份|600379|电力设备|-2.47|
|688392.SH|骄成超声|688392|电力设备|-2.48|
|688567.SH|孚能科技|688567|电力设备|-2.49|
|300530.SZ|领湃科技|300530|电力设备|-2.5|
|603050.SH|科林电气|603050|电力设备|-2.51|
|301668.SZ|昊创瑞通|301668|电力设备|-2.52|
|603530.SH|神马电力|603530|电力设备|-2.52|
|002709.SZ|天赐材料|002709|电力设备|-2.53|
|920200.BJ|振宏股份|920200|电力设备|-2.54|
|603396.SH|金辰股份|603396|电力设备|-2.54|
|301662.SZ|宏工科技|301662|电力设备|-2.54|
|300014.SZ|亿纬锂能|300014|电力设备|-2.55|
|301210.SZ|金杨精密|301210|电力设备|-2.58|
|688516.SH|奥特维|688516|电力设备|-2.62|
|603185.SH|弘元绿能|603185|电力设备|-2.63|
|300827.SZ|上能电气|300827|电力设备|-2.64|
|301278.SZ|快可电子|301278|电力设备|-2.64|
|300919.SZ|中伟新材|300919|电力设备|-2.66|
|002882.SZ|金龙羽|002882|电力设备|-2.68|
|603659.SH|璞泰来|603659|电力设备|-2.69|
|920639.BJ|晨光电缆|920639|电力设备|-2.7|
|002506.SZ|协鑫集成|002506|电力设备|-2.71|
|002249.SZ|大洋电机|002249|电力设备|-2.71|
|688726.SH|拉普拉斯|688726|电力设备|-2.73|
|603381.SH|永臻股份|603381|电力设备|-2.73|
|688717.SH|艾罗能源|688717|电力设备|-2.74|
|300345.SZ|华民股份|300345|电力设备|-2.77|
|002451.SZ|摩恩电气|002451|电力设备|-2.78|
|002125.SZ|湘潭电化|002125|电力设备|-2.78|
|002459.SZ|晶澳科技|002459|电力设备|-2.78|
|688680.SH|海优新材|688680|电力设备|-2.79|
|688778.SH|厦钨新能|688778|电力设备|-2.8|
|688560.SH|明冠新材|688560|电力设备|-2.8|
|300073.SZ|当升科技|300073|电力设备|-2.81|
|920809.BJ|安达科技|920809|电力设备|-2.81|
|920496.BJ|许昌智能|920496|电力设备|-2.82|
|688676.SH|金盘科技|688676|电力设备|-2.83|
|300693.SZ|盛弘股份|300693|电力设备|-2.83|
|002150.SZ|正泰电源|002150|电力设备|-2.83|
|688390.SH|固德威|688390|电力设备|-2.84|
|600152.SH|维科技术|600152|电力设备|-2.84|
|001269.SZ|欧晶科技|001269|电力设备|-2.87|
|688184.SH|ST帕瓦|688184|电力设备|-2.88|
|001393.SZ|维通利|001393|电力设备|-2.88|
|688499.SH|利元亨|688499|电力设备|-2.89|
|920029.BJ|开发科技|920029|电力设备|-2.89|
|688599.SH|天合光能|688599|电力设备|-2.89|
|920237.BJ|力佳科技|920237|电力设备|-2.89|
|002953.SZ|日丰股份|002953|电力设备|-2.9|
|300776.SZ|帝尔激光|300776|电力设备|-2.9|
|603097.SH|江苏华辰|603097|电力设备|-2.9|
|300457.SZ|赢合科技|300457|电力设备|-2.9|
|603819.SH|神力股份|603819|电力设备|-2.91|
|301636.SZ|泽润新能|301636|电力设备|-2.92|
|301222.SZ|浙江恒威|301222|电力设备|-2.92|
|002812.SZ|恩捷股份|002812|电力设备|-2.92|
|603906.SH|龙蟠科技|603906|电力设备|-2.93|
|920682.BJ|球冠电缆|920682|电力设备|-2.93|
|300153.SZ|科泰电源|300153|电力设备|-2.95|
|300724.SZ|捷佳伟创|300724|电力设备|-2.96|
|605378.SH|野马电池|605378|电力设备|-2.96|
|920011.BJ|晨光电机|920011|电力设备|-2.97|
|603063.SH|禾望电气|603063|电力设备|-2.97|
|300432.SZ|富临精工|300432|电力设备|-2.97|
|300340.SZ|科恒股份|300340|电力设备|-2.97|
|688573.SH|信宇人|688573|电力设备|-2.97|
|300880.SZ|迦南智能|300880|电力设备|-2.98|
|920523.BJ|德瑞锂电|920523|电力设备|-2.98|
|300409.SZ|道氏技术|300409|电力设备|-3.0|
|688779.SH|五矿新能|688779|电力设备|-3.0|
|600580.SH|卧龙电驱|600580|电力设备|-3.0|
|688148.SH|芳源股份|688148|电力设备|-3.01|
|000049.SZ|德赛电池|000049|电力设备|-3.01|
|920111.BJ|聚星科技|920111|电力设备|-3.02|
|920100.BJ|三协电机|920100|电力设备|-3.02|
|300490.SZ|华自科技|300490|电力设备|-3.04|
|000682.SZ|东方电子|000682|电力设备|-3.05|
|300393.SZ|中来股份|300393|电力设备|-3.06|
|603350.SH|安乃达|603350|电力设备|-3.06|
|688681.SH|科汇股份|688681|电力设备|-3.06|
|920046.BJ|亿能电力|920046|电力设备|-3.07|
|300035.SZ|中科电气|300035|电力设备|-3.08|
|603016.SH|新宏泰|603016|电力设备|-3.08|
|688733.SH|壹石通|688733|电力设备|-3.09|
|688348.SH|昱能科技|688348|电力设备|-3.1|
|920185.BJ|贝特瑞|920185|电力设备|-3.1|
|002245.SZ|蔚蓝锂芯|002245|电力设备|-3.12|
|301349.SZ|信德新材|301349|电力设备|-3.12|
|002865.SZ|钧达股份|002865|电力设备|-3.14|
|300593.SZ|新雷能|300593|电力设备|-3.15|
|688411.SH|海博思创|688411|电力设备|-3.18|
|600847.SH|万里股份|600847|电力设备|-3.18|
|688772.SH|珠海冠宇|688772|电力设备|-3.2|
|688638.SH|誉辰智能|688638|电力设备|-3.2|
|301152.SZ|天力锂能|301152|电力设备|-3.2|
|301023.SZ|奕帆传动|301023|电力设备|-3.23|
|601012.SH|隆基绿能|601012|电力设备|-3.25|
|688429.SH|时创能源|688429|电力设备|-3.27|
|300438.SZ|鹏辉能源|300438|电力设备|-3.28|
|688191.SH|智洋创新|688191|电力设备|-3.29|
|688063.SH|派能科技|688063|电力设备|-3.29|
|300118.SZ|东方日升|300118|电力设备|-3.3|
|002801.SZ|微光股份|002801|电力设备|-3.3|
|300820.SZ|英杰电气|300820|电力设备|-3.3|
|300769.SZ|德方纳米|300769|电力设备|-3.35|
|301658.SZ|首航新能|301658|电力设备|-3.35|
|603212.SH|赛伍技术|603212|电力设备|-3.39|
|300660.SZ|江苏雷利|300660|电力设备|-3.4|
|000821.SZ|ST京机|000821|电力设备|-3.41|
|300670.SZ|大烨智能|300670|电力设备|-3.42|
|301163.SZ|宏德股份|301163|电力设备|-3.42|
|920414.BJ|欧普泰|920414|电力设备|-3.44|
|920779.BJ|武汉蓝电|920779|电力设备|-3.45|
|920627.BJ|力王股份|920627|电力设备|-3.46|
|002805.SZ|丰元股份|002805|电力设备|-3.47|
|002176.SZ|江特电机|002176|电力设备|-3.49|
|300751.SZ|迈为股份|300751|电力设备|-3.49|
|301358.SZ|湖南裕能|301358|电力设备|-3.54|
|603312.SH|西典新能|603312|电力设备|-3.57|
|300763.SZ|锦浪科技|300763|电力设备|-3.59|
|688345.SH|博力威|688345|电力设备|-3.6|
|301325.SZ|曼恩斯特|301325|电力设备|-3.63|
|603577.SH|汇金通|603577|电力设备|-3.64|
|301327.SZ|华宝新能|301327|电力设备|-3.65|
|603988.SH|中电电机|603988|电力设备|-3.66|
|601567.SH|三星电气|601567|电力设备|-3.66|
|601126.SH|四方股份|601126|电力设备|-3.68|
|688147.SH|微导纳米|688147|电力设备|-3.71|
|600110.SH|诺德股份|600110|电力设备|-3.73|
|301030.SZ|*ST仕净|301030|电力设备|-3.8|
|603032.SH|德新科技|603032|电力设备|-3.81|
|920152.BJ|昆工科技|920152|电力设备|-3.83|
|920252.BJ|天宏锂电|920252|电力设备|-3.87|
|301590.SZ|优优绿能|301590|电力设备|-3.88|
|002759.SZ|ST天际|002759|电力设备|-3.89|
|600438.SH|通威股份|600438|电力设备|-3.91|
|603026.SH|石大胜华|603026|电力设备|-3.95|
|300390.SZ|天华新能|300390|电力设备|-3.98|
|688116.SH|天奈科技|688116|电力设备|-3.99|
|301040.SZ|中环海陆|301040|电力设备|-3.99|
|688556.SH|高测股份|688556|电力设备|-4.04|
|688275.SH|万润新能|688275|电力设备|-4.09|
|603031.SH|安孚科技|603031|电力设备|-4.09|
|920368.BJ|连城数控|920368|电力设备|-4.11|
|688353.SH|华盛锂电|688353|电力设备|-4.11|
|920508.BJ|殷图网联|920508|电力设备|-4.11|
|301226.SZ|祥明智能|301226|电力设备|-4.13|
|600732.SH|爱旭股份|600732|电力设备|-4.15|
|603778.SH|国晟科技|603778|电力设备|-4.22|
|301002.SZ|崧盛股份|301002|电力设备|-4.23|
|688719.SH|爱科赛博|688719|电力设备|-4.28|
|002980.SZ|华盛昌|002980|电力设备|-4.3|
|603320.SH|迪贝电气|603320|电力设备|-4.46|
|301266.SZ|宇邦新材|301266|电力设备|-4.47|
|300407.SZ|凯发电气|300407|电力设备|-4.48|
|301697.SZ|贝特利|301697|电力设备|-4.5|
|688005.SH|容百科技|688005|电力设备|-4.5|
|301292.SZ|海科新源|301292|电力设备|-4.53|
|688503.SH|聚和材料|688503|电力设备|-4.56|
|920239.BJ|长虹能源|920239|电力设备|-4.6|
|920299.BJ|灿能电力|920299|电力设备|-4.73|
|000695.SZ|滨海能源|000695|电力设备|-4.95|
|001301.SZ|尚太科技|001301|电力设备|-5.16|
|605196.SH|华通线缆|605196|电力设备|-5.19|
|300619.SZ|金银河|300619|电力设备|-5.3|
|301295.SZ|美硕科技|301295|电力设备|-5.44|
|688226.SH|威腾电气|688226|电力设备|-5.66|
|920222.BJ|益坤电气|920222|电力设备|-5.78|
|920522.BJ|纳科诺尔|920522|电力设备|-5.9|
|600192.SH|长城电工|600192|电力设备|-5.99|
|301502.SZ|华阳智能|301502|电力设备|-6.32|
|603191.SH|望变电气|603191|电力设备|-6.94|
|300491.SZ|通合科技|300491|电力设备|-7.16|
|002580.SZ|圣阳股份|002580|电力设备|-7.25|
|920119.BJ|美德乐|920119|电力设备|-8.02|
|688611.SH|杭州柯林|688611|电力设备|-8.17|
|301699.SZ|C洛轴|301699|电力设备|-16.08|",2026-09-13T08:46:58.517543+08:00
